# t (s)	mx ()	my ()	mz ()	ext_topologicalcharge ()	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
6.500048419508311e-10	9.952637e-05	-0.005056215	0.6443516	-0.6962427	9.5536065e-17	-2.6445795e-17	1.4995502e-17	1.07989494e-16	-1.0031429e-18	0
6.600104403346506e-10	0.001801297	-0.0072439965	0.63635904	-0.8534984	1.02979255e-16	-2.639075e-17	1.4963529e-17	1.0726889e-16	7.137588e-18	0
6.700054383406282e-10	0.009379843	-0.011286203	0.6306746	-0.51035213	9.3442206e-17	-2.6308196e-17	1.4921066e-17	1.0816925e-16	-3.3399229e-18	0
6.80006502921338e-10	0.010748459	-0.010975634	0.6230965	-0.59667194	9.4207004e-17	-2.6191857e-17	1.4857833e-17	1.0686606e-16	-1.3250182e-18	0
6.900050633096514e-10	0.014389654	-0.007998896	0.61742014	-0.5247878	1.0204073e-16	-2.6091151e-17	1.4799712e-17	1.0704298e-16	6.289189e-18	0
7.000047021549077e-10	0.015443518	-0.0016969518	0.61107343	-0.696938	8.8876097e-17	-2.6047252e-17	1.4769639e-17	1.07599595e-16	-7.445883e-18	0
7.100105216022459e-10	0.018288324	0.0043183872	0.6051156	-0.53005016	8.981897e-17	-2.6042835e-17	1.47728e-17	1.07342216e-16	-6.253216e-18	0
7.200043665522017e-10	0.011277526	0.008648549	0.59900427	-0.66426784	9.679354e-17	-2.6196036e-17	1.4853714e-17	1.07749956e-16	3.8590527e-19	0
7.300086152059598e-10	0.002921606	0.0076728887	0.59139216	-0.86414045	8.475591e-17	-2.6220323e-17	1.4867753e-17	1.07293194e-16	-1.1184722e-17	0
7.400088855394081e-10	0.00040839537	0.0055109398	0.58553606	-0.7984118	8.6436344e-17	-2.6184617e-17	1.4848231e-17	1.06736746e-16	-8.9640264e-18	0
7.500165530673659e-10	-0.004205956	0.008886048	0.5782669	-0.6247728	8.938843e-17	-2.6048033e-17	1.4772197e-17	1.0761253e-16	-6.948263e-18	0
7.600100811434427e-10	-0.0055533247	0.0034333137	0.5769351	-0.5086055	9.7796644e-17	-2.6144436e-17	1.482292e-17	1.0784404e-16	1.2741268e-18	0
7.700166326911928e-10	-0.0036202439	-0.0025060002	0.57226837	-0.70031834	1.0239058e-16	-2.6117131e-17	1.4800612e-17	1.0755719e-16	6.1499084e-18	0
7.800111162253757e-10	0.0029072694	-0.005604846	0.5645166	-0.9091654	9.905859e-17	-2.605967e-17	1.477168e-17	1.0795286e-16	2.3937186e-18	0
7.900149247504355e-10	0.0016947457	0.0026616617	0.55689293	-0.6319503	9.758543e-17	-2.602863e-17	1.4751777e-17	1.0789968e-16	9.626002e-19	0
8.000142040366474e-10	0.0013123801	0.007027246	0.55138206	-0.6837721	9.775096e-17	-2.6101752e-17	1.4793803e-17	1.0796139e-16	1.0975161e-18	0
8.100104546747958e-10	0.0046795583	0.008116802	0.5486313	-0.46660602	9.994597e-17	-2.6218252e-17	1.4853391e-17	1.0703936e-16	4.2714705e-18	0
8.200010896085961e-10	0.0025121383	0.0069394745	0.5442012	-0.7711696	9.4086765e-17	-2.6142322e-17	1.4815448e-17	1.0768332e-16	-2.2696777e-18	0
8.300021869806946e-10	1.7497645e-05	0.0068088174	0.53717154	-0.64000624	1.09614157e-16	-2.6097416e-17	1.4789893e-17	1.08299806e-16	1.2621855e-17	0
8.400120967399954e-10	-0.003493233	0.0022078922	0.5304794	-0.62930614	9.733817e-17	-2.6051876e-17	1.476861e-17	1.06810914e-16	1.8105184e-18	0
8.500130281653549e-10	-0.008610014	0.005581755	0.52282816	-0.5916322	9.8336886e-17	-2.5841782e-17	1.4654183e-17	1.0665499e-16	2.8694964e-18	0
8.600129070852961e-10	-0.01577587	0.004525352	0.51781905	-0.5038124	9.1092385e-17	-2.5803653e-17	1.4628704e-17	1.0720414e-16	-4.936805e-18	0
8.70007635196058e-10	-0.014320881	-0.012360325	0.512366	-0.7034707	9.67636e-17	-2.5824615e-17	1.4636943e-17	1.07375435e-16	5.7584313e-19	0
8.800143439763092e-10	-0.002812224	-0.013947046	0.5066818	-0.3339828	1.0051451e-16	-2.5802672e-17	1.4625099e-17	1.0704275e-16	4.6493283e-18	0
8.900160320153208e-10	0.0052568656	-0.018151563	0.50285757	-0.6616631	9.985567e-17	-2.5794211e-17	1.4619638e-17	1.07724545e-16	3.3056946e-18	0
