,D,Ms,DMI,Sk
217,400.0,950.0,1.5,0.1622253921123691
218,400.0,1000.0,1.5,0.17084555771555326
219,400.0,1050.0,1.5,0.23659455773042798
220,480.0,600.0,1.5,0.8487688363998841
221,480.0,650.0,1.5,0.8897916045635162
222,480.0,700.0,1.5,0.903856771431906
223,480.0,750.0,1.5,0.9007227299433348
224,480.0,800.0,1.5,0.8884986485676988
225,480.0,850.0,1.5,0.9002849854432031
226,480.0,900.0,1.5,0.9266022002843164
227,480.0,950.0,1.5,7.357623790328504
228,480.0,1000.0,1.5,0.1715218599005306
229,480.0,1050.0,1.5,0.23891159410281715
230,560.0,600.0,1.5,0.8455673045469037
231,560.0,650.0,1.5,0.886599581253883
232,560.0,700.0,1.5,0.9007075111027663
233,560.0,750.0,1.5,0.8976773504464334
234,560.0,800.0,1.5,0.8717688333306873
235,560.0,850.0,1.5,0.8925905278780639
236,560.0,900.0,1.5,-3.5254492035096088
237,560.0,950.0,1.5,2.4242074147079755
238,560.0,1000.0,1.5,0.1755861306121588
239,560.0,1050.0,1.5,0.23913535034248226
240,640.0,600.0,1.5,0.8409847085941939
241,640.0,650.0,1.5,0.8819808597373535
242,640.0,700.0,1.5,0.8960865003426063
243,640.0,750.0,1.5,0.8931183189840922
244,640.0,800.0,1.5,0.8674693500749188
245,640.0,850.0,1.5,0.7745878177456538
246,640.0,900.0,1.5,-3.327704683730746
247,640.0,950.0,1.5,9.694530536180192
248,640.0,1000.0,1.5,0.18493656696114644
249,640.0,1050.0,1.5,0.24745784573619672
250,720.0,600.0,1.5,0.838424015898984
251,720.0,650.0,1.5,0.8794266263317666
252,720.0,700.0,1.5,0.8935543651426878
253,720.0,750.0,1.5,0.8906535960899211
254,720.0,800.0,1.5,0.8652033311229294
255,720.0,850.0,1.5,0.8216766856650949
256,720.0,900.0,1.5,-4.403986584874976
257,720.0,950.0,1.5,10.581691317689485
258,720.0,1000.0,1.5,0.1891677522995621
259,720.0,1050.0,1.5,0.25150141592196396
260,800.0,600.0,1.5,0.8353446144503576
261,800.0,650.0,1.5,0.8763325438422432
262,800.0,700.0,1.5,0.8904806883018672
263,800.0,750.0,1.5,0.8876535229811943
264,800.0,800.0,1.5,0.8623947749757265
265,800.0,850.0,1.5,0.8030484863797043
266,800.0,900.0,1.5,-4.545779580105365
267,800.0,950.0,1.5,7.563926006450923
268,800.0,1000.0,1.5,0.1943761876215254
269,800.0,1050.0,1.5,0.25603911723293693
270,160.0,600.0,2.0,0.8987132259185073
271,160.0,650.0,2.0,0.895363438583701
272,160.0,700.0,2.0,0.8904108408323613
273,160.0,750.0,2.0,0.8828810810754504
274,160.0,800.0,2.0,0.8704010137124166
275,160.0,850.0,2.0,0.05086723937160762
276,160.0,900.0,2.0,0.028177642116629282
277,160.0,950.0,2.0,0.0712556195865015
278,160.0,1000.0,2.0,0.13110066623411692
279,160.0,1050.0,2.0,0.1783746255296061
280,240.0,600.0,2.0,0.8942639321815691
281,240.0,650.0,2.0,0.8888531961341342
282,240.0,700.0,2.0,0.8823465091075738
283,240.0,750.0,2.0,0.8691330080643317
284,240.0,800.0,2.0,0.8834683201965899
285,240.0,850.0,2.0,0.06411213161160481
286,240.0,900.0,2.0,0.09444869689613175
287,240.0,950.0,2.0,0.9192223220236924
288,240.0,1000.0,2.0,0.1798930821720555
289,240.0,1050.0,2.0,0.16740782512380814
