# t (s)	mx ()	my ()	mz ()	maxTorque (T)
5.400099999995309e-10	1.395325e-09	1.0919935e-09	0.00031646705	0.015359218
5.500099999995133e-10	1.8806554e-09	1.6986565e-09	0.00031491302	0.014870733
5.600099999994956e-10	4.8533044e-10	-8.493283e-10	0.00031337823	0.014402855
5.70009999999478e-10	1.8199892e-09	1.9413218e-09	0.0003117946	0.013936166
5.800099999994604e-10	9.099946e-10	8.493283e-10	0.00031021915	0.013472858
5.900099999994428e-10	2.79065e-09	2.9119827e-09	0.0003086856	0.013021532
6.000099999994252e-10	1.5773239e-09	1.1526597e-09	0.00030718694	0.01257893
6.100099999994076e-10	2.4266522e-09	-1.5773239e-09	0.0003057881	0.0121474825
6.2000999999939e-10	1.0161606e-09	2.183987e-09	0.00030440566	0.011731875
6.300099999993724e-10	-4.549973e-10	2.4266522e-09	0.00030294812	0.011322856
6.400099999993547e-10	1.4559913e-09	2.4873186e-09	0.00030152235	0.010925391
6.500099999993371e-10	2.0626543e-09	6.0666305e-10	0.00030015965	0.010550791
6.600099999993195e-10	-2.8513163e-09	-8.493283e-10	0.00029887244	0.01017868
6.700099999993019e-10	-1.895822e-09	-1.9413218e-09	0.00029760227	0.009819676
6.800099999992843e-10	2.4266522e-10	-3.4883125e-09	0.00029633305	0.009472481
6.900099999992667e-10	-7.8866197e-10	-1.8199892e-09	0.00029509328	0.009126142
7.000099999992491e-10	-6.0666305e-11	-4.974637e-09	0.00029383943	0.0087937815
7.100099999992315e-10	-2.8513163e-09	-4.091184e-09	0.00029267548	0.008468212
7.200099999992138e-10	1.3346587e-09	1.1109517e-09	0.00029154235	0.008150246
7.300099999991962e-10	-7.2799566e-10	1.6986565e-09	0.0002904676	0.007854781
7.400099999991786e-10	0	1.06166034e-10	0.00028938215	0.0075534475
7.50009999999161e-10	9.706609e-10	-1.4559913e-09	0.000288329	0.007273907
7.600099999991434e-10	1.8199892e-10	-1.2739924e-09	0.00028723627	0.006988962
7.700099999991258e-10	1.2133261e-10	7.8866197e-10	0.0002862559	0.006719084
7.800099999991082e-10	3.0939815e-09	-8.493283e-10	0.00028527857	0.0064611174
7.900099999990906e-10	6.0666305e-10	-1.2436593e-09	0.00028431957	0.006211459
8.00009999999073e-10	-1.2133261e-10	6.6732936e-10	0.00028343493	0.0059656585
